scope,direction,date,amount,running_total
MI,oppose,2026-09-03,206883.18,223133.18
MI,oppose,2026-09-08,304261.17,527394.35
MI,oppose,2026-09-09,229064.66,756459.01
MI,oppose,2026-09-11,20000.00,776459.01
MI,oppose,2026-09-14,197742.56,974201.57
MI,oppose,2026-09-17,713377.95,1687579.52
MI,oppose,2026-09-21,244113.23,1931692.75
MI,oppose,2026-09-24,452527.70,2384220.45
MI,oppose,2026-09-25,39168.10,2423388.55
NH,support,2026-08-27,1230.00,1230.00
NH,support,2026-09-10,110020.84,111250.84
NH,support,2026-09-14,42465.88,153716.72
NH,support,2026-09-16,39088.00,192804.72
NH,support,2026-09-21,21137.00,213941.72
NH,support,2026-09-24,46009.05,259950.77
NH,support,2026-09-25,16034.73,275985.50
NH,oppose,2026-08-27,8052.50,8052.50
NH,oppose,2026-08-31,82176.00,90228.50
NH,oppose,2026-09-08,73479.61,163708.11
NH,oppose,2026-09-10,138128.04,301836.15
NH,oppose,2026-09-14,84739.87,386576.02
NH,oppose,2026-09-16,39088.00,425664.02
NH,oppose,2026-09-18,121310.98,546975.00
NH,oppose,2026-09-21,21137.00,568112.00
NH,oppose,2026-09-24,57789.95,625901.95
NH,oppose,2026-09-25,16034.72,641936.67
NJ,support,2026-08-21,5407.88,5407.88
NJ,support,2026-08-27,500.00,5907.88
NJ,support,2026-09-10,42754.80,48662.68
NJ,oppose,2026-08-21,5407.87,5407.87
NJ,oppose,2026-09-24,15785.94,21193.81
NY,support,2026-08-21,5063.33,5063.33
NY,support,2026-08-27,500.00,5563.33
NY,support,2026-09-10,42170.70,47734.03
NY,oppose,2026-08-21,5063.32,5063.32
NY,oppose,2026-09-24,9012.35,14075.67
NY,oppose,2026-09-25,1133.61,15209.28
OH,support,2026-08-27,105675.00,105675.00
OH,support,2026-09-08,292172.65,397847.65
OH,support,2026-09-09,249874.05,647721.70
OH,support,2026-09-14,219794.49,867516.19
OH,support,2026-09-21,229395.76,1096911.95
OH,support,2026-09-23,53742.50,1150654.45
OH,support,2026-09-24,225640.73,1376295.18
OH,support,2026-09-25,12442.50,1388737.68
OH,oppose,2026-09-03,61000.00,61000.00
OH,oppose,2026-09-04,587371.16,648371.16
OH,oppose,2026-09-08,292172.65,940543.81
OH,oppose,2026-09-09,132669.30,1073213.11
OH,oppose,2026-09-14,219129.49,1292342.60
OH,oppose,2026-09-15,61000.00,1353342.60
OH,oppose,2026-09-17,572506.00,1925848.60
OH,oppose,2026-09-21,229395.75,2155244.35
OH,oppose,2026-09-23,53353.75,2208598.10
OH,oppose,2026-09-24,236165.96,2444764.06
OH,oppose,2026-09-25,12442.50,2457206.56
PA,support,2026-08-21,11819.03,11819.03
PA,support,2026-08-27,1500.00,13319.03
PA,support,2026-08-31,6189.90,19508.93
PA,support,2026-09-10,143967.45,163476.38
PA,support,2026-09-18,77939.00,241415.38
PA,oppose,2026-08-21,11819.02,11819.02
PA,oppose,2026-08-31,6189.90,18008.92
PA,oppose,2026-09-18,77939.00,95947.92
PA,oppose,2026-09-24,98472.60,194420.52
TX,support,2026-08-20,123000.00,123000.00
TX,support,2026-08-27,1595.00,124595.00
TX,support,2026-09-09,423047.32,547642.32
TX,support,2026-09-15,2500.00,550142.32
TX,support,2026-09-16,82122.50,632264.82
TX,support,2026-09-18,57143.88,689408.70
TX,support,2026-09-25,28206.85,717615.55
TX,oppose,2026-08-20,123000.00,123000.00
TX,oppose,2026-09-03,61000.00,184000.00
TX,oppose,2026-09-04,1303645.67,1487645.67
TX,oppose,2026-09-09,387692.48,1875338.15
TX,oppose,2026-09-10,246000.00,2121338.15
TX,oppose,2026-09-14,1106446.64,3227784.79
TX,oppose,2026-09-15,144500.00,3372284.79
TX,oppose,2026-09-16,82122.50,3454407.29
TX,oppose,2026-09-17,1362443.00,4816850.29
TX,oppose,2026-09-18,57143.86,4873994.15
TX,oppose,2026-09-24,1272419.00,6146413.15
TX,oppose,2026-09-25,28206.85,6174620.00
VA,support,2026-08-20,4500.00,4500.00
VA,support,2026-08-27,500.00,5000.00
VA,support,2026-09-10,35259.85,40259.85
VA,support,2026-09-15,20464.00,60723.85
VA,support,2026-09-24,8713.71,69437.56
VA,oppose,2026-08-20,4500.00,4500.00
VA,oppose,2026-09-10,4500.00,9000.00
VA,oppose,2026-09-14,91337.51,100337.51
VA,oppose,2026-09-15,20464.00,120801.51
VA,oppose,2026-09-17,3130.67,123932.18
VA,oppose,2026-09-25,40928.00,164860.18
WA,support,2026-09-03,12220.20,12220.20
WA,support,2026-09-10,33449.90,45670.10
WA,support,2026-09-14,43474.86,89144.96
WA,support,2026-09-21,44419.33,133564.29
WA,support,2026-09-24,44419.33,177983.62
WI,support,2026-08-27,5225.00,5225.00
WI,support,2026-09-10,39414.10,44639.10
WI,support,2026-09-15,4725.00,49364.10
WI,oppose,2026-08-27,4725.00,4725.00
WI,oppose,2026-09-15,8549.16,13274.16
WI,oppose,2026-09-24,39462.60,52736.76
